filing_date,fiscal_period,fiscal_year,start_date,end_date,cik,company_name,revenues,cost_of_revenue,gross_profit,operating_expenses,operating_income,net_income,diluted_eps,basic_eps,total_assets,current_assets,noncurrent_assets,total_liabilities,current_liabilities,noncurrent_liabilities,stockholders_equity,retained_earnings,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_flow
2015-10-28,FY,2015,2014-09-28,2015-09-26,0000320193,APPLE INC,233715000000.0,140089000000.0,93626000000.0,22396000000.0,71230000000.0,53394000000.0,9.22,9.28,290479000000.0,89378000000.0,201101000000.0,171124000000.0,80610000000.0,90514000000.0,119355000000.0,119355000000.0,81266000000.0,-56274000000.0,-17716000000.0,7276000000.0
2016-10-26,FY,2016,2015-09-27,2016-09-24,0000320193,APPLE INC,215639000000.0,131376000000.0,84263000000.0,24239000000.0,60024000000.0,45687000000.0,8.31,8.35,321686000000.0,106869000000.0,214817000000.0,193437000000.0,79006000000.0,114431000000.0,128249000000.0,128249000000.0,65824000000.0,-45977000000.0,-20483000000.0,-636000000.0
2017-11-03,FY,2017,2016-09-25,2017-09-30,0000320193,APPLE INC,229234000000.0,141048000000.0,88186000000.0,26842000000.0,61344000000.0,48351000000.0,9.21,9.27,375319000000.0,128645000000.0,246674000000.0,241272000000.0,100814000000.0,140458000000.0,134047000000.0,134047000000.0,63598000000.0,-46446000000.0,-17347000000.0,-195000000.0
2018-11-05,FY,2018,2017-10-01,2018-09-29,0000320193,APPLE INC,265595000000.0,163756000000.0,101839000000.0,30941000000.0,70898000000.0,59531000000.0,11.91,12.01,365725000000.0,131339000000.0,234386000000.0,258578000000.0,116866000000.0,141712000000.0,107147000000.0,107147000000.0,77434000000.0,16066000000.0,-87876000000.0,5624000000.0
2019-10-31,FY,2019,2018-09-30,2019-09-28,0000320193,Apple Inc.,260174000000.0,161782000000.0,98392000000.0,34462000000.0,63930000000.0,55256000000.0,11.89,11.97,338516000000.0,162819000000.0,175697000000.0,248028000000.0,105718000000.0,142310000000.0,90488000000.0,90488000000.0,69391000000.0,45896000000.0,-90976000000.0,24311000000.0
2020-10-30,FY,2020,2019-09-29,2020-09-26,0000320193,Apple Inc.,274515000000.0,169559000000.0,104956000000.0,38668000000.0,66288000000.0,57411000000.0,3.28,3.31,323888000000.0,143713000000.0,180175000000.0,258549000000.0,105392000000.0,153157000000.0,65339000000.0,65339000000.0,80674000000.0,-4289000000.0,-86820000000.0,-10435000000.0
2021-10-29,FY,2021,2020-09-27,2021-09-25,0000320193,Apple Inc.,365817000000.0,212981000000.0,152836000000.0,43887000000.0,108949000000.0,94680000000.0,5.61,5.67,351002000000.0,134836000000.0,216166000000.0,287912000000.0,125481000000.0,162431000000.0,63090000000.0,63090000000.0,104038000000.0,-14545000000.0,-93353000000.0,-3860000000.0
2022-10-28,FY,2022,2021-09-26,2022-09-24,0000320193,Apple Inc.,394328000000.0,223546000000.0,170782000000.0,51345000000.0,119437000000.0,99803000000.0,6.11,6.15,352755000000.0,135405000000.0,217350000000.0,302083000000.0,153982000000.0,148101000000.0,50672000000.0,50672000000.0,122151000000.0,-22354000000.0,-110749000000.0,-10952000000.0
2023-11-03,FY,2023,2022-09-25,2023-09-30,0000320193,Apple Inc.,383285000000.0,214137000000.0,169148000000.0,54847000000.0,114301000000.0,96995000000.0,6.13,6.16,352583000000.0,143566000000.0,209017000000.0,290437000000.0,145308000000.0,145129000000.0,62146000000.0,62146000000.0,110543000000.0,3705000000.0,-108488000000.0,5760000000.0
2024-11-01,FY,2024,2023-10-01,2024-09-28,0000320193,Apple Inc.,391035000000.0,210352000000.0,180683000000.0,57467000000.0,123216000000.0,93736000000.0,6.08,6.11,364980000000.0,152987000000.0,211993000000.0,308030000000.0,176392000000.0,131638000000.0,56950000000.0,56950000000.0,118254000000.0,2935000000.0,-121983000000.0,-794000000.0
