filing_date,fiscal_period,fiscal_year,revenues,cost_of_revenue,gross_profit,operating_expenses,operating_income,net_income,diluted_eps,basic_eps
2012-07-25,Q3,2012,35023000000.0,20029000000.0,14994000000.0,3421000000.0,11573000000.0,8824000000.0,9.32,9.42
2013-01-24,Q1,2013,54512000000.0,33452000000.0,21060000000.0,3850000000.0,17210000000.0,13078000000.0,13.81,13.93
2013-04-24,Q2,2013,43603000000.0,27254000000.0,16349000000.0,3791000000.0,12558000000.0,9547000000.0,10.09,10.16
2013-07-24,Q3,2013,35323000000.0,22299000000.0,13024000000.0,3823000000.0,9201000000.0,6900000000.0,7.47,7.51
2014-01-28,Q1,2014,57594000000.0,35748000000.0,21846000000.0,4383000000.0,17463000000.0,13072000000.0,2.07,2.08
2014-04-24,Q2,2014,45646000000.0,27699000000.0,17947000000.0,4354000000.0,13593000000.0,10223000000.0,1.66,1.67
2014-07-23,Q3,2014,37432000000.0,22697000000.0,14735000000.0,4453000000.0,10282000000.0,7748000000.0,1.28,1.29
2015-01-28,Q1,2015,74599000000.0,44858000000.0,29741000000.0,5495000000.0,24246000000.0,18024000000.0,3.06,3.08
2015-04-28,Q2,2015,58010000000.0,34354000000.0,23656000000.0,5378000000.0,18278000000.0,13569000000.0,2.33,2.34
2015-07-22,Q3,2015,49605000000.0,29924000000.0,19681000000.0,5598000000.0,14083000000.0,10677000000.0,1.85,1.86
2016-01-27,Q1,2016,75872000000.0,45449000000.0,30423000000.0,6252000000.0,24171000000.0,18361000000.0,3.28,3.3
2016-04-27,Q2,2016,50557000000.0,30636000000.0,19921000000.0,5934000000.0,13987000000.0,10516000000.0,1.9,1.91
2016-07-27,Q3,2016,42358000000.0,26252000000.0,16106000000.0,6001000000.0,10105000000.0,7796000000.0,1.42,1.43
2017-02-01,Q1,2017,78351000000.0,48175000000.0,30176000000.0,6817000000.0,23359000000.0,17891000000.0,3.36,3.38
2017-05-03,Q2,2017,52896000000.0,32305000000.0,20591000000.0,6494000000.0,14097000000.0,11029000000.0,2.1,2.11
2017-08-02,Q3,2017,45408000000.0,27920000000.0,17488000000.0,6720000000.0,10768000000.0,8717000000.0,1.67,1.68
2018-02-02,Q1,2018,88293000000.0,54381000000.0,33912000000.0,7638000000.0,26274000000.0,20065000000.0,3.89,3.92
2018-05-02,Q2,2018,61137000000.0,37715000000.0,23422000000.0,7528000000.0,15894000000.0,13822000000.0,2.73,2.75
2018-08-01,Q3,2018,53265000000.0,32844000000.0,20421000000.0,7809000000.0,12612000000.0,11519000000.0,2.34,2.36
2019-01-30,Q1,2019,84310000000.0,52279000000.0,32031000000.0,8685000000.0,23346000000.0,19965000000.0,4.18,4.22
2019-05-01,Q2,2019,58015000000.0,36194000000.0,21821000000.0,8406000000.0,13415000000.0,11561000000.0,2.46,2.47
2019-07-31,Q3,2019,53809000000.0,33582000000.0,20227000000.0,8683000000.0,11544000000.0,10044000000.0,2.18,2.2
2020-01-29,Q1,2020,91819000000.0,56602000000.0,35217000000.0,9648000000.0,25569000000.0,22236000000.0,1.25,1.26
2020-05-01,Q2,2020,58313000000.0,35943000000.0,22370000000.0,9517000000.0,12853000000.0,11249000000.0,0.64,0.64
2020-07-31,Q3,2020,59685000000.0,37005000000.0,22680000000.0,9589000000.0,13091000000.0,11253000000.0,0.65,0.65
2021-01-28,Q1,2021,111439000000.0,67111000000.0,44328000000.0,10794000000.0,33534000000.0,28755000000.0,1.68,1.7
2021-04-29,Q2,2021,89584000000.0,51505000000.0,38079000000.0,10576000000.0,27503000000.0,23630000000.0,1.4,1.41
2021-07-28,Q3,2021,81434000000.0,46179000000.0,35255000000.0,11129000000.0,24126000000.0,21744000000.0,1.3,1.31
2022-01-28,Q1,2022,123945000000.0,69702000000.0,54243000000.0,12755000000.0,41488000000.0,34630000000.0,2.1,2.11
2022-04-29,Q2,2022,97278000000.0,54719000000.0,42559000000.0,12580000000.0,29979000000.0,25010000000.0,1.52,1.54
2022-07-29,Q3,2022,82959000000.0,47074000000.0,35885000000.0,12809000000.0,23076000000.0,19442000000.0,1.2,1.2
2023-02-03,Q1,2023,117154000000.0,66822000000.0,50332000000.0,14316000000.0,36016000000.0,29998000000.0,1.88,1.89
2023-05-05,Q2,2023,94836000000.0,52860000000.0,41976000000.0,13658000000.0,28318000000.0,24160000000.0,1.52,1.53
2023-08-04,Q3,2023,81797000000.0,45384000000.0,36413000000.0,13415000000.0,22998000000.0,19881000000.0,1.26,1.27
2024-02-02,Q1,2024,119575000000.0,64720000000.0,54855000000.0,14482000000.0,40373000000.0,33916000000.0,2.18,2.19
2024-05-03,Q2,2024,90753000000.0,48482000000.0,42271000000.0,14371000000.0,27900000000.0,23636000000.0,1.53,1.53
2024-08-02,Q3,2024,85777000000.0,46099000000.0,39678000000.0,14326000000.0,25352000000.0,21448000000.0,1.4,1.4
2025-01-31,Q1,2025,124300000000.0,66025000000.0,58275000000.0,15443000000.0,42832000000.0,36330000000.0,2.4,2.41
2025-05-02,Q2,2025,95359000000.0,50492000000.0,44867000000.0,15278000000.0,29589000000.0,24780000000.0,1.65,1.65
2025-08-01,Q3,2025,94036000000.0,50318000000.0,43718000000.0,15516000000.0,28202000000.0,23434000000.0,1.57,1.57
